sigla,nome,regiao
RO,Rondônia, Norte
AC,Acre, Norte
AM,Amazonas, Norte
RR,Roraima, Norte
PA,Pará, Norte
AP,Amapá, Norte
TO,Tocantins, Norte
MA,Maranhão, Nordeste
PI,Piauí, Nordeste
CE,Ceará, Nordeste
RN,Rio Grande do Norte, Nordeste
PB,Paraíba, Nordeste
PE,Pernambuco, Nordeste
AL,Alagoas, Nordeste
SE,Sergipe, Nordeste
BA,Bahia, Nordeste
MG,Minas Gerais, Sudeste
ES,Espírito Santo, Sudeste
RJ,Rio de Janeiro, Sudeste
SP,São Paulo, Sudeste
PR,Paraná, Sul
SC,Santa Catarina, Sul
RS,Rio Grande do Sul, Sul
MS,Mato Grosso do Sul, Centro-Oeste
MT,Mato Grosso, Centro-Oeste
GO,Goiás, Centro-Oeste
DF,Distrito Federal, Centro-Oeste
